country,cause,year,total
Australia,Certain infectious and parasitic diseases,1989,8.5
Australia,Certain infectious and parasitic diseases,1990,9.3
Australia,Certain infectious and parasitic diseases,2003,10.7
Australia,Certain infectious and parasitic diseases,2004,11
Australia,Certain infectious and parasitic diseases,2006,11.6
Australia,Diseases of the blood and blood-forming organs,1985,4.9
Australia,Diseases of the blood and blood-forming organs,1986,4.7
Australia,Diseases of the blood and blood-forming organs,2020,2.1
Australia,Diseases of the blood and blood-forming organs,2021,2.1
Australia,Diseases of the blood and blood-forming organs,2022,2.1
Australia,Diseases of the blood and blood-forming organs,1998,3.2
Australia,Diseases of the blood and blood-forming organs,2010,2.1
Australia,Diseases of the blood and blood-forming organs,2011,2.3
Australia,Diseases of the blood and blood-forming organs,2012,2.1
Australia,Diseases of the blood and blood-forming organs,2013,2.4
Australia,Diseases of the blood and blood-forming organs,2014,2.5
Australia,Diseases of the blood and blood-forming organs,2015,2.4
Australia,Diseases of the blood and blood-forming organs,2016,2.2
Australia,Diseases of the blood and blood-forming organs,2017,2.3
Australia,Diseases of the blood and blood-forming organs,2018,2.1
Australia,Diseases of the blood and blood-forming organs,2019,2.3
Australia,Diseases of the blood and blood-forming organs,1987,5
Australia,Diseases of the blood and blood-forming organs,1988,4.3
Australia,Diseases of the blood and blood-forming organs,1989,4.5
Australia,Diseases of the blood and blood-forming organs,1990,4.6
Australia,Diseases of the blood and blood-forming organs,1991,4.1
Australia,Diseases of the blood and blood-forming organs,1992,4.1
Australia,Diseases of the blood and blood-forming organs,1993,3.4
Australia,Diseases of the blood and blood-forming organs,1994,3.4
Australia,Diseases of the blood and blood-forming organs,1995,3
Australia,Diseases of the blood and blood-forming organs,1996,3.2
Australia,Diseases of the blood and blood-forming organs,1997,3.1
Australia,Diseases of the blood and blood-forming organs,1999,3.2
Australia,Diseases of the blood and blood-forming organs,2000,2.8
Australia,Diseases of the blood and blood-forming organs,2001,2.7
Australia,Diseases of the blood and blood-forming organs,2002,2.8
Australia,Diseases of the blood and blood-forming organs,2003,2.8
Australia,Diseases of the blood and blood-forming organs,2004,3
Australia,Diseases of the blood and blood-forming organs,2006,2.9
Australia,Diseases of the blood and blood-forming organs,2007,2.7
Australia,Diseases of the blood and blood-forming organs,2008,2.7
Australia,Diseases of the blood and blood-forming organs,2009,2.2
Australia,Diseases of the blood and blood-forming organs,1982,5.1
Australia,Diseases of the blood and blood-forming organs,1983,4.3
Australia,Diseases of the blood and blood-forming organs,1984,4.6
Australia,Total,1985,1259
Australia,Total,1986,1156.5
Australia,Total,2020,639.9
Australia,Total,2021,662.3
Australia,Total,2022,716.7
Australia,Total,1998,931.4
Australia,Total,2010,737
Australia,Total,2011,741.6
Australia,Total,2012,721.3
Australia,Total,2013,703.5
Australia,Total,2014,712.2
Australia,Total,2015,719.1
Australia,Total,2016,698.3
Australia,Total,2017,692.2
Australia,Total,2018,665.7
Australia,Total,2019,690.8
Australia,Total,1987,1166.1
Australia,Total,1988,1139.4
Australia,Total,1989,1182.5
Australia,Total,1990,1092.4
Australia,Total,1991,1058.8
Australia,Diseases of the digestive system,1991,37.4
Australia,Diseases of the digestive system,1992,34.9
Australia,Total,1994,1051.4
Australia,Total,1995,1005.2
Australia,Total,1996,995.9
Australia,Total,1997,971.5
Australia,Total,1999,908.4
Australia,Total,2000,885.3
Australia,Total,2001,855.3
Australia,Total,2002,859.1
Australia,Total,2003,827.6
Australia,Total,2004,818.2
Australia,Total,2006,802.9
Australia,Total,2007,775
Australia,Total,2008,786.3
Australia,Total,2009,745.8
Australia,Total,1982,1310.2
Australia,Total,1983,1229.2
Australia,Total,1984,1238.1
